title,importId,parentImportId,description,status,priority,assignee,dueDate
新增接口挡板（2个）,T266,,所属模块: 外联服务,done,medium,吴卓隆,2026-01-20
外联系统接口开发、联通性测试（35个接口）,T267,,所属模块: 外联服务,done,medium,吴卓隆,2026-03-12
OCR识别公共API开发,T268,,所属模块: 外联服务,in_progress,medium,郭震,2026-04-15
内部账开户,T269,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账销户,T270,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部户特殊记账,T271,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账借贷,T272,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
待销账挂账,T273,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
待销账销账,T274,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账业务冲正,T275,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账现金交易,T276,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账户维护,T277,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账销户回退,T278,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账场景管理,T279,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账场景记账,T280,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账同借同贷,T281,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账跨行汇兑(本地),T282,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账跨行汇兑(集中作业),T283,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账行内转账(本地),T284,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
内部账行内转账(集中作业),T285,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
对公通存(内部账付款),T286,,所属模块: 柜面审批流程开发,done,medium,黄志文,2026-01-20
任务调度引擎大字段改造,T287,,所属模块: 任务调度,done,medium,赵庆欣,2026-01-09
设计器-触发器,T288,,所属模块: 流程引擎,done,medium,黄志文,2026-01-31
设计器-包容分支,T289,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
设计器-路由分支,T290,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
设计器-并行分支,T291,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
设计器-自动拒绝,T292,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
设计器-自动通过,T293,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
通用审批壳- PC,T294,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
通用审批壳-移动端,T295,,所属模块: 流程引擎,in_progress,medium,黄志文,2026-01-31
API-转办,T296,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-委派,T297,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-代理,T298,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-加签,T299,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-减签,T300,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-抄送,T301,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-拿回,T302,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
API-撤销,T303,,所属模块: 流程引擎,done,medium,黄志文,2026-01-20
数据库初始贯标（补全中文描述）,T304,,所属模块: 数据贯标,done,medium,郭震,2026-01-09
宝蓝德中间件集成支持,T305,,"所属模块: 集成部署
废弃宝兰德部署",done,medium,郭震,2026-01-06
devops持续集成支持,T306,,"所属模块: 集成部署
根据devops平台人员要求目前只需提供主机信息，现已提供，等待后续指令",done,medium,郭震,2026-01-14
非功能需求开发,T307,,所属模块: 非功能需求实现,backlog,medium,赵庆欣,2026-04-30
信息安全需求开发,T308,,所属模块: 信息安全需求实现,backlog,medium,赵庆欣,2026-04-30
自定义登记簿开发后端,T309,,所属模块: 自定义登记簿开发,done,medium,赵庆欣,2026-02-12
自定义登记簿开发前端,T310,,所属模块: 自定义登记簿开发,done,medium,陈奇,2026-01-31
前端集成到乾坤,T311,,所属模块: 档案管理服务原型集成,backlog,medium,黄志文,2026-03-31
后台功能裁剪并迁移,T312,,所属模块: 档案管理服务原型集成,done,medium,赵庆欣,2026-01-31
移动端框架搭建,T313,,所属模块: 移动门户集成,in_progress,medium,陈奇,2026-02-12
授权认证,T314,,所属模块: 公共组件开发,done,medium,黄志文,2026-01-11
前端页面文件预览,T315,,所属模块: 公共组件开发,in_progress,medium,陈奇,2026-01-07
大屏播报对接数字人,T316,,所属模块: 数字人对接,backlog,medium,陈奇,2026-03-25
菜单跳转对接数字人,T317,,所属模块: 数字人对接,backlog,medium,陈奇,2026-04-15
功能裁剪,T318,,所属模块: 考培服务,backlog,medium,赵庆欣,2026-03-31
后端集成配置中心,T319,,所属模块: 考培服务,backlog,medium,赵庆欣,2026-03-31
对接统一的认证授权,T320,,所属模块: 考培服务,backlog,medium,赵庆欣,2026-03-31
对接统一的数据字典处理,T321,,所属模块: 考培服务,backlog,medium,赵庆欣,2026-03-31
对接统一的机构查询,T322,,所属模块: 考培服务,backlog,medium,赵庆欣,2026-03-31
对接统一的用户查询,T323,,所属模块: 考培服务,backlog,medium,赵庆欣,2026-03-31
整理开发规范文档,T324,,所属模块: 其他,done,medium,赵庆欣,2026-01-19
OCR部署,T325,,所属模块: 其他,done,medium,郭震,2026-01-27
BI部署,T326,,所属模块: 其他,done,medium,郭震,2026-01-28
扫描漏洞修复,T327,,所属模块: 其他,backlog,medium,赵庆欣,2026-05-15
pass平台对接,T328,,所属模块: 其他,done,medium,郭震,2026-02-12
影像平台对接,T329,,"所属模块: 其他
查询",done,medium,郭震,2026-02-12
对柜面发布接口联调,T330,,"所属模块: 其他
等待柜面系统联调",backlog,medium,郭震,2026-02-12
xxljob重新集成并针对自增主键进行调整,T331,,所属模块: 其他,backlog,medium,郭震,2026-04-15
日志收集,T332,,所属模块: 其他,done,medium,黄志文,2026-03-04
自动派单,T333,,所属模块: 其他,backlog,medium,陈义康,2026-05-15
账户开变销超期备案预警,T334,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
客户预留信息与员工信息一致预警,T335,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
员工与客户往来异常预警,T336,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
当日电子验印业务异常提示预警,T337,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
隔日电子验印业务异常提示预警,T338,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
借款资金异常往来预警,T339,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
人工未及时异地授权预警,T340,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
人工未及时普借回执预警,T341,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
超期查复业务预警,T342,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
自动柜员机未按时清机提示预警,T343,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
机构日终批处理后在途资金预警,T344,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
在途凭证长时间不入账提示预警,T345,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
在途凭证超次日未入库预警,T346,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
超期处理挂账业务,T347,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
对账不一致预警,T348,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
4629-内部账户出现借方余额预警,T349,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
异地客户交易异常预警,T350,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
客户异常处置账户预警,T351,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
客户大额异常开户预警,T352,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
对公账户法定代表人交叉任职,T353,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
异常开卡并开通非柜面渠道业务,T354,,"所属模块: 批量任务模型-普通预警模型
高",backlog,medium,杜宝祥,2026-04-16
聚合支付商户风险监测,T355,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
小微商户经营性收款异常预警,T356,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
账户多次输错密码预警,T357,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
同一客户短期内频繁挂失预警,T358,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
对公账户开销户异常预警,T359,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
账户开变销未及时备案提示预警,T360,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
自助设备挂账处理异常提示预警,T361,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
柜员频繁办理冲正业务预警,T362,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
柜员临近签退时间频繁办理特殊业务预警,T363,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
柜员自办业务预警,T364,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
柜员自复核业务预警,T365,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
柜员自授权业务预警,T366,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
执行冻结业务异常预警,T367,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
单位定期存款违规支取预警,T368,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
重复业务预警,T369,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
小额异常交易预警,T370,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
对内交易异常预警,T371,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
人工未及时异地授权提示预警,T372,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
非营业时间办理业务预警,T373,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
超库存限额预警,T374,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
普借回执提示预警,T375,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
查复业务提示预警,T376,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
自动柜员机未按时清机预警,T377,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
待结算财政款项账户提示预警,T378,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
待销账资金长时间未处理预警,T379,,"所属模块: 批量任务模型-普通预警模型
中",backlog,medium,杜宝祥,2026-05-15
长短款长时间未处理,T380,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
电子银行签约业务异常预警,T381,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
账户开户数量异常预警,T382,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
当日开户当日变更预警,T383,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
柜员同日频繁调岗预警,T384,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
管理人员未按规定查库预警,T385,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
存款开销户业务当日冲销预警,T386,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
柜员重开业务预警,T387,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
现金收入业务异常提示预警,T388,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
电子印章手工用印预警,T389,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
重复业务提示预警,T390,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
现金存取异常预警,T391,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
销户资金流向异常预警,T392,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
联网核查结果异常办理业务预警,T393,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
现金出入库异常预警,T394,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
机构频繁现金出入库预警,T395,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
联网核查机构重复设置预警,T396,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
挂账未及时处理提示预警,T397,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
待销账资金长时间未处理提示预警,T398,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
异常小额定期开户预警,T399,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
个人账户开户异常挂失业务预警,T400,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
验资账户异常支取预警,T401,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
账户风险级别监测预警,T402,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
长期未发生业务的账户异常动账,T403,,"所属模块: 批量任务模型-普通预警模型
低",backlog,medium,杜宝祥,2026-05-31
内部账交易金额异常预警,T404,,"所属模块: 批量任务模型-普通预警模型
低",in_progress,medium,杜宝祥,2026-05-31
个人结算账户资金异常归集监测模型（25个指标）,T405,,"所属模块: 批量任务模型-积分卡预警模型
高",backlog,medium,杜宝祥,2026-04-16
企业开立基本存款账户异常行为监测模型（17个指标）,T406,,"所属模块: 批量任务模型-积分卡预警模型
高",backlog,medium,杜宝祥,2026-04-16
柜员操作风险积分卡监测模型（13个指标）,T407,,"所属模块: 批量任务模型-积分卡预警模型
高",backlog,medium,杜宝祥,2026-04-16
机构运营合规风险积分卡监测模型（13个指标）,T408,,"所属模块: 批量任务模型-积分卡预警模型
高",backlog,medium,杜宝祥,2026-04-16
员工异常查询客账信息预警模型（7个指标）,T409,,"所属模块: 批量任务模型-积分卡预警模型
高",backlog,medium,杜宝祥,2026-04-16
频繁代理开户预警模型（6个指标）,T410,,"所属模块: 批量任务模型-积分卡预警模型
高",backlog,medium,杜宝祥,2026-04-16
监督模型批量任务公共逻辑封装开发,T411,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
1-有权机关冻结管理,T412,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
2-账户/渠道限制,T413,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
3-有权机关递增冻结管理,T414,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
4-有权机关扣划,T415,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
5-存款过户,T416,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
8-个人定期存款开户,T417,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
9-个人活期存款开户,T418,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
10-个人活期存款销户,T419,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
16-个人定期存款支取/销户,T420,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
27-个人定期存款多笔销户,T421,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
30-整整销户转开,T422,,"所属模块: 批量任务模型-监督模型
1",backlog,medium,赵庆欣,2026-03-30
11-换卡,T423,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
14-智能通知存款签约解约,T424,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
17-单位定期支取/销户,T425,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
18-凭证挂失管理,T426,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
21-单位存款凭证签发/更换,T427,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
25-凭证手工销号,T428,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
28-综合签约,T429,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
29-综合解约,T430,,"所属模块: 批量任务模型-监督模型
2",backlog,medium,赵庆欣,2026-04-10
6-存款证明管理,T431,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
7-当日冲销,T432,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
12-联名存款密码管理,T433,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
13-凭证作废,T434,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
15-凭证销毁,T435,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
19-对公凭证印鉴挂失管理,T436,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
20-账户印鉴管理,T437,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
22-定期子账户移入移出,T438,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
23-活期冲正,T439,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
24-密码管理,T440,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
26-遗产继承,T441,,所属模块: 批量任务模型-监督模型,backlog,medium,赵庆欣,2026-04-25
JSB_WHOLE,T442,,"所属模块: 批量任务-实时数据处理
电子验印系统",backlog,medium,吴卓隆,2026-03-30
BB32_SYNC_CORE_RECORD,T443,,"所属模块: 批量任务-实时数据处理
风险实时识别与查控系统",backlog,medium,吴卓隆,2026-03-30
BB32_SYNC_CORE_RECORD_GR,T444,,"所属模块: 批量任务-实时数据处理
风险实时识别与查控系统",backlog,medium,吴卓隆,2026-03-30
IB_LOG_LOGMASTER_LOG,T445,,"所属模块: 批量任务-实时数据处理
柜面",backlog,medium,吴卓隆,2026-03-30
AGR_BASE_AGREEMENT,T446,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
CORE_BUS_TRAN_INFO,T447,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
CIF_CLIENT,T448,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_ACCT,T449,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_ACCT_ATTACH,T450,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_ACCT_BALANCE,T451,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_AMEND,T452,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_IMPOUND_INFO,T453,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_OPEN_CLOSE_REG,T454,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_RESTRAINTS_HIST,T455,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_TRAN_HIST,T456,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-03-30
RB_VOUCHER_ACCT_RELATION,T457,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
RB_VOUCHER_LOST,T458,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
RB_VOUCHER_LOST_DETAIL,T459,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
TB_CASH_MOVE,T460,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
TB_TRAN_HIST,T461,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
GAB_DXZP_DJXJ,T462,,"所属模块: 批量任务-实时数据处理
金融反诈一体化平台",backlog,medium,吴卓隆,2026-04-16
GAB_DXZP_DJZFDJB,T463,,"所属模块: 批量任务-实时数据处理
金融反诈一体化平台",backlog,medium,吴卓隆,2026-04-16
GAB_DXZP_JJZF,T464,,"所属模块: 批量任务-实时数据处理
金融反诈一体化平台",backlog,medium,吴卓隆,2026-04-16
GAB_DXZP_XDXX,T465,,"所属模块: 批量任务-实时数据处理
金融反诈一体化平台",backlog,medium,吴卓隆,2026-04-16
GAB_DXZP_ZHGK,T466,,"所属模块: 批量任务-实时数据处理
金融反诈一体化平台",backlog,medium,吴卓隆,2026-04-16
GAB_WLCK_JRCJZTSJ,T467,,"所属模块: 批量任务-实时数据处理
金融反诈一体化平台",backlog,medium,吴卓隆,2026-04-16
TB_INF_EMPLYEE,T468,,"所属模块: 批量任务-实时数据处理
人力资源",backlog,medium,吴卓隆,2026-04-16
TB_INF_EMPSOCIETYRELATION,T469,,"所属模块: 批量任务-实时数据处理
人力资源",backlog,medium,吴卓隆,2026-04-16
AB_ELEC_SEAL_BOOK,T470,,"所属模块: 批量任务-实时数据处理
无纸化平台",backlog,medium,吴卓隆,2026-04-16
CTRDSBR_IOU_INF,T471,,"所属模块: 批量任务-实时数据处理
信贷系统",backlog,medium,吴卓隆,2026-04-16
YD_ACCOUNTS_ALL,T472,,"所属模块: 批量任务-实时数据处理
账管系统",backlog,medium,吴卓隆,2026-04-30
BP_TRANSLIST_TB,T473,,"所属模块: 批量任务-实时数据处理
作业授权",backlog,medium,吴卓隆,2026-04-30
SM_USER_ROLE_TB,T474,,"所属模块: 批量任务-实时数据处理
作业授权",backlog,medium,吴卓隆,2026-04-30
ZY_QUESTIONSURE_TB,T475,,"所属模块: 批量任务-实时数据处理
作业授权",backlog,medium,吴卓隆,2026-04-30
BP_OPER_DETAIL_TB,T476,,"所属模块: 批量任务-实时数据处理
作业授权",backlog,medium,吴卓隆,2026-04-30
BP_OCR_QUERY_RESULT_TB,T477,,"所属模块: 批量任务-实时数据处理
作业授权",backlog,medium,吴卓隆,2026-04-30
BP_TRANSFILEDLIST_TB,T478,,"所属模块: 批量任务-实时数据处理
作业授权",backlog,medium,吴卓隆,2026-04-30
CIF_AMEND,T479,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-30
ib_log_printvoucher_log,T480,,"所属模块: 批量任务-实时数据处理
柜面",backlog,medium,吴卓隆,2026-03-30
TB_LIMIT_CTRL,T481,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
TB_LIMIT_CTRL_DETAIL,T482,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
FM_LOC_HOLIDAY,T483,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
TB_BAILBOX,T484,,"所属模块: 批量任务-实时数据处理
核心",backlog,medium,吴卓隆,2026-04-16
ib_upm_user_info_his,T485,,"所属模块: 批量任务-实时数据处理
柜面",backlog,medium,吴卓隆,2026-03-30
